stanox,crs
00013,DUS
00020,ESS
00023,BUM
00025,DTM
00031,BNJ
00034,KBZ
00041,FRA
00044,MNZ
00710,MSC
00711,FRH
00741,LIU
00742,LIL
00748,CHV
00750,PBN
00762,FOB
00764,MZM
00768,XIB
00783,AVI
00785,CMC
00786,FNI
00787,NNE
00790,POI
00792,BOX
00794,DAX
00796,HEF
00798,CER
00799,MCK
00850,BXS
00889,BBR
00909,RDL
00918,ROT
00927,DHS
00950,AMS
01001,THS
01005,WCK
01008,GGJ
01009,SCT
01010,ABC
01012,FRS
01013,KBC
01015,KIL
01016,HMS
01021,BRA
01023,DNO
01024,GOL
01027,ROG
01031,LRG
01035,INH
01037,CUA
01041,ARD
01044,TAI
01047,FRN
01053,IGD
01058,ASS
01071,KYL
01072,DRN
01073,PLK
01074,DCG
01075,STF
01076,ATT
01077,STC
01078,ACH
01079,ACN
01081,AAT
01082,LCC
01083,GVE
01089,BEL
01091,DIN
01094,MOO
01100,INV
01101,CBD
01103,XIV
01125,NRN
01127,FOR
01138,CAG
01143,BGR
01144,AVM
01147,KIN
01151,NWR
01154,DLW
01158,IVA
02007,ELG
02011,DUT
02015,KEH
02021,HNT
02029,INS
02031,INR
02039,KTR
02042,DYC
02071,ABD
02075,XAC
02109,PLN
02113,STN
03001,LAU
03014,MTS
03023,ARB
03031,CAN
03032,GOF
03038,BYL
03039,MON
03040,BSI
03041,BYF
03054,DEE
03060,DUE
03062,XDE
03067,ING
03101,BLA
03102,PIT
03106,DKD
03128,XPH
03140,PTH
03153,GLE
03161,DBL
03165,BEA
03203,LEU
03205,CUP
03207,SPF
03214,LEV
03216,CBX
03221,LDY
03226,MNC
03241,GLT
03248,CDD
03249,LCG
03253,XTJ
03256,COW
03257,XCJ
03272,KDY
03283,KGH
03291,BTS
03295,AUR
03298,DAG
03319,DFL
03321,DFE
03323,ROS
03331,INK
03338,NQU
03339,RYK
03375,ALO
03401,STG
04010,BHG
04025,LSN
04028,UHA
04039,EDP
04086,FLD
04088,BRC
04090,ADW
04101,WCL
04102,LVG
04105,SLA
04112,KKN
04114,CUH
04116,WTA
04118,KGE
04201,DAM
04211,SGL
04230,XHA
04235,HYM
04303,EDB
04304,EGY
04521,XCN
04635,BSU
04709,EKB
04710,GBG
04711,NEG
04712,SFI
04713,SOI
04714,TWB
04715,GAL
04718,NEW
04803,MUB
04809,WAF
04811,PST
04817,LND
04821,DRM
04824,NBW
04827,DUN
04852,RSN
04853,ELT
05009,LBT
05037,CMO
05041,FKG
05042,XGM
05091,GGM
05109,FKK
05111,PMT
05119,LIN
06001,MLG
06002,MRR
06004,ARG
06005,BSL
06006,LCL
06008,GLF
06009,LCS
06010,CPA
06013,BNV
06014,LHE
06025,FTW
06027,SBR
06028,RYB
06029,TUL
06031,CRR
06035,RAN
06037,BRO
06039,UTY
06041,OBN
06046,CON
06048,TAY
06050,FOC
06051,LHA
06053,DAL
06055,TYL
06058,CNR
06059,AUI
06101,ART
06105,GCH
06108,HLU
06109,HLC
06111,CGD
06113,CDR
06121,BHC
06123,ALX
06125,RTN
06134,DLR
06136,DBC
06137,DBE
06203,BWG
06205,KPT
06211,DMR
06215,SIN
06217,DMY
06219,DMC
06221,WES
06222,ANL
06230,KVD
06233,MYH
06236,SUM
06239,GSC
06242,PPK
06245,ASF
06301,MLN
06303,HLF
06305,BRN
06345,CYK
06347,YOK
06349,XYD
06350,GRS
06351,SCH
06352,JOR
06354,HYN
06355,XHD
06359,PTK
06365,CHC
06399,GQL
06401,GLQ
06430,XED
06443,BBG
06454,LNZ
06457,CRO
06502,GRH
06503,SPS
06521,SPR
06523,BNL
06524,RRN
06525,AXP
06527,DST
06600,HST
06701,BLG
06706,CAY
06707,SLS
06710,GAR
06712,EST
06714,BAI
07001,WMS
07002,IBM
07004,INP
07005,BCN
07006,WNL
07009,DFR
07011,GRK
07012,FTM
07013,GKW
07015,GKC
07023,CDY
07028,BGS
07101,LHW
07102,HOZ
07103,MIN
07105,JHN
07115,PCN
07116,HKH
07118,CKT
07119,MPK
07124,CKH
07125,XCK
07127,DUM
07128,PTG
07129,WDL
07130,LGB
07132,BPT
07136,PYJ
07140,PYG
07150,HLW
07152,HLE
07154,CDO
07202,XGW
07224,BRR
07225,NIT
07226,PTL
07227,KNS
07228,PWW
07229,CMY
07231,EKL
07233,GFN
07235,KGP
07236,MFL
07237,NEI
07238,CCT
07253,AND
07255,GCL
07257,GLC
07259,AGS
07266,XPD
07269,BDG
07272,DAK
07275,EXG
07280,RUT
07294,CML
07295,MTV
07296,BIO
07297,BGI
07298,KWD
07301,CUB
07303,GRL
07312,CBC
07323,DRU
07324,ARM
07327,ADR
07328,BKR
07329,COA
07331,CBS
07334,CAC
07342,WFF
07359,XMS
07397,HLY
07411,CBL
07416,NTN
07419,UDD
07429,BLH
07430,CEA
07432,CRF
07434,SHS
07435,XJB
07436,HTW
07459,XMW
07466,MTH
07467,XMH
07476,AIR
07479,HNC
07480,HNW
07486,BLT
07490,CTE
07494,MEY
07496,LRH
07551,KKH
07553,BUI
07555,CFF
07561,PTT
07562,BGY
07563,WCR
07565,WLM
07567,MUI
07573,COI
07575,QPK
07577,PLE
07581,LGS
07583,PWE
07585,SHL
07587,MAX
07589,PLW
07609,HMY
07611,THT
07613,BUS
07615,CKS
07619,THB
07906,SDM
07945,WSH
07955,CLU
07957,LNK
07962,CRS
07981,LOC
08001,GLG
08007,XBA
08101,DLY
08105,KWN
08123,STV
08125,SLT
08198,ASB
08200,XAT
08202,WKB
08204,ADN
08208,ADS
08216,FRL
08221,LAR
08401,IRV
08411,BSS
08519,TRN
08521,PRA
08523,PTW
08600,XFA
08605,NOA
08618,AYR
08621,XAR
08639,MAY
08645,BRL
08646,GIR
08653,STR
08701,DNL
08703,STT
08704,KLM
08712,KMK
08825,AUK
08834,NCK
08841,KRK
08845,SQH
09022,DMF
09033,ANN
09085,GEA
09095,XGS
09150,XKY
09161,CAR
09195,XUM
09213,DLS
09221,WGT
09312,PNR
09330,XIT
09415,AWT
09416,LZB
09418,LGW
09426,APP
09436,KSW
09440,GSD
09443,DNT
09508,RHD
09513,HIR
09521,SET
09525,LPR
09527,HLD
09529,GGV
09531,SKI
10021,ASP
10023,MRY
10026,FLM
10050,WKG
10057,HRR
10059,PRN
10101,WTH
10124,CKL
10195,BYS
10197,NRT
10199,SBS
10201,SEL
10203,SSC
10205,DRI
10206,RAV
11001,WDM
11003,SVL
11005,BUD
