atoc_code,name
AW,Transport for Wales Rail
CC,c2c Railway c2c
CH,Chiltern Rail Chiltern Railways
CS,Caledonian Sleeper
EM,Transport UK East Midlands East Midlands Railway
ES,Eurostar International Eurostar
GC,Grand Central Railway Company Grand Central
GM,"Transport for Greater Manchester Transport for Greater Manchester, TfGM"
GN,Govia Thameslink Railway Great Northern
GR,London North Eastern Railway LNER
GW,"First Greater Western First Great Western, Great Western Railway, GWR"
GX,Govia Thameslink Railway Gatwick Express
HT,"Hull Trains Company Hull Trains, First Hull Trains"
HX,Heathrow Express Operating Company Heathrow Express
IL,First MTR South Western Trains Island Line
LD,East Coast Trains Lumo
LE,GA Trains Greater Anglia
LF,First Rail Stirling Lumo
LM,"WM Trains West Midlands Railway, London Northwestern Railway"
LO,First Rail London London Overground
ME,Merseyrail Electrics 2002 Merseyrail
NT,Northern Trains Northern
NY,North Yorkshire Moors Railway
SE,SE Trains Southeastern
SN,Govia Thameslink Railway Southern
SR,ScotRail Trains ScotRail
SW,South Western Railway
TL,Govia Thameslink Railway Thameslink
TP,Transpennine Trains TransPennine Express
VT,First Trenitalia West Coast Rail Avanti West Coast
WR,West Coast Railway Company West Coast Railways
XC,XC Trains CrossCountry
XR,GTS Rail Operations Elizabeth line
